T_K,T_C,vertex,fraction,CU,NI,CR,SI
1425.65,1152.5,1,0.9810826566055176,0.008253323703610396,0.958404183068285,0.02077011646388919,0.01257237676421547
1426.15,1153.0,0,0.018881492320244747,0.08137423990781938,0.011693772006772917,0.6156165967426153,0.29131539134279244
1426.15,1153.0,1,0.9811185077804513,0.008258107242153593,0.9583691592446877,0.02079116229359723,0.012581571219561561
1426.65,1153.5,0,0.01884563856108842,0.08126489921797506,0.01171610211717818,0.6156522526080309,0.2913667460568159
1426.65,1153.5,1,0.9811543615313678,0.008262879263749662,0.9583341365183635,0.020812213791994955,0.012590770425891943
1427.15,1154.0,0,0.018809782188566035,0.08115573398293235,0.011738462075193702,0.6156877516036801,0.2914180523381939
1427.15,1154.0,1,0.9811902179066566,0.008267639767169401,0.9582991148996477,0.020833270946384274,0.012599974386798676
1427.65,1154.5,0,0.018773923196178068,0.08104674429428894,0.011760851912301728,0.6157230936570859,0.2914693101363233
1427.65,1154.5,1,0.9812260768863508,0.008272388783915488,0.9582640943780937,0.020854333745448074,0.012609183092542636
1428.15,1155.0,0,0.018738061599010772,0.08093793010285288,0.011783271659354284,0.6157582787837238,0.2915205194540689
1428.15,1155.0,1,0.9812619384599112,0.00827712633439588,0.9582290749496415,0.020875402175716606,0.012618396540246104
1428.65,1155.5,0,0.01870219734770928,0.08082929120910193,0.011805721346505786,0.6157933070942686,0.2915716803501237
1428.65,1155.5,1,0.9812978027153978,0.008281852427022627,0.9581940566173001,0.020896476221774058,0.01262761473390314
1429.15,1156.0,0,0.018666330485896988,0.08072082781372791,0.011828201006044849,0.6158281784376438,0.29162279274258335
1429.15,1156.0,1,0.9813336695878853,0.008286567102846476,0.9581590393637941,0.02091755587121527,0.012636837662144235
1429.65,1156.5,0,0.01863046095529435,0.08061253958495226,0.011850710667432192,0.6158628930304965,0.29167385671711904
1429.65,1156.5,1,0.9813695391047631,0.008291270360056188,0.9581240231999895,0.020938641113044956,0.012646065326909537
1430.15,1157.0,0,0.018594588772881407,0.08050442672700239,0.01187325036321282,0.6158974507031088,0.29172487220667603
1430.15,1157.0,1,0.9814054113047447,0.0082959622403983,0.9580890081065674,0.020959731930460874,0.01265529772257341
1430.65,1157.5,0,0.018558713934576202,0.0803964890767796,0.011895820123854227,0.6159318515606117,0.29177583923875455
1430.65,1157.5,1,0.9814412861271609,0.008300642756171607,0.9580539940853783,0.020980828313458637,0.012664534844991584
1431.15,1158.0,0,0.018522836409721796,0.08028872655577551,0.011918419980466305,0.6159660956312293,0.2918267578325289
1431.15,1158.0,1,0.9814771636451015,0.008305311926610708,0.9580189811320221,0.02100193024676894,0.01267377669459838
1431.65,1158.5,0,0.0184869562273813,0.08018113923225181,0.011941049964943152,0.6160001828551251,0.29187762794767985
1431.65,1158.5,1,0.9815130438518989,0.008309969783266301,0.9579839692350285,0.021023037718419863,0.012683023263285277
1432.15,1159.0,0,0.018451073352065316,0.08007372686272393,0.011963710107538817,0.6160341133848056,0.29192844964493153
1432.15,1159.0,1,0.9815489267262125,0.00831461633234362,0.9579489583993637,0.02104415071648338,0.012692274551809445
1432.65,1159.5,0,0.018415187755856485,0.07996648946887655,0.011986400440093076,0.6160678871808164,0.291979222910214
1432.65,1159.5,1,0.9815848123035239,0.008319251601912703,0.9579139486146871,0.021065269225933023,0.012701530557467294
1433.15,1160.0,0,0.018379299485054207,0.07985942702283226,0.012009120994078151,0.6161015042608704,0.2920299477222192
1433.15,1160.0,1,0.9816207005821376,0.00832387561636412,0.9578789398749911,0.021086393238220525,0.012710791270424428
1433.65,1160.5,0,0.018343408486428524,0.07975253950986656,0.012031871801407785,0.6161349645898542,0.2920806240988715
1433.65,1160.5,1,0.9816565915766012,0.00832848840113405,0.9578439321697099,0.021107522732744455,0.012720056696411677
1434.15,1161.0,0,0.018307514752129654,0.07964582671635109,0.012054652892605674,0.6161682683187184,0.2921312520723249
1434.15,1161.0,1,0.9816924853162944,0.008333089965697593,0.9578089255030191,0.021128657702881137,0.012729326828402308
1434.65,1161.5,0,0.018271618300182882,0.07953928862115942,0.012077464299455746,0.6162014154474225,0.2921818316319625
1434.65,1161.5,1,0.9817283817566093,0.00833768033551941,0.957773919866841,0.021149798136558984,0.01273860166108068
1435.15,1162.0,0,0.018235719100892955,0.0794329252115057,0.012100306054020649,0.6162344059469377,0.29223236278753606
1435.15,1162.0,1,0.9817642809531916,0.0083422595368497,0.9577389152504888,0.021170944015304897,0.012747881197356576
1435.65,1162.5,0,0.0181998171474857,0.0793267363352788,0.012123178187356445,0.6162672399240762,0.2922828455532887
1435.65,1162.5,1,0.9818001828939673,0.008346827584786321,0.9577039116540453,0.02119209533198396,0.0127571654291844
1436.15,1163.0,0,0.01816391242764294,0.07922072191525531,0.01214608073123163,0.6162999174017394,0.2923332799517738
1436.15,1163.0,1,0.981836087629052,0.00835138450063255,0.9576689090706175,0.02121325207040992,0.012766454358340153
1436.65,1163.5,0,0.018128004950888867,0.0791148820160269,0.012169013718096915,0.6163324383312353,0.2923836659346409
1436.65,1163.5,1,0.9818719951001109,0.008355930317958858,0.957633907487314,0.02123441422131823,0.012775747973408894
1437.15,1164.0,0,0.0180920946984431,0.07900921642205698,0.012191977179040584,0.616364802833586,0.29243400356531646
1437.15,1164.0,1,0.9819079053599985,0.008360465046911689,0.9575989069047599,0.021255581769679645,0.01278504627864871
1437.65,1164.5,0,0.018056181640781047,0.0789037250377012,0.012214971145799244,0.6163970109599859,0.29248429285651373
1437.65,1164.5,1,0.9819438183977016,0.008364988707917433,0.9575639073177746,0.021276754703756246,0.012794349270551784
1438.15,1165.0,0,0.018020265787591326,0.07879840785712278,0.0122379956507493,0.6164290626912191,0.2925345338009088
1438.15,1165.0,1,0.98197973424729,0.008369501329121735,0.9575289087152138,0.021297933009278472,0.01280365694638613
1438.65,1165.5,0,0.017984347127814524,0.07869326476305094,0.012261050725531799,0.6164609581063767,0.2925847264050407
1438.65,1165.5,1,0.9820156529098295,0.008374002929607108,0.9574939110937623,0.02131911667822125,0.012812969298409428
1439.15,1166.0,0,0.01794842564622394,0.07858829562354064,0.012284136401960211,0.616492697267729,0.2926348707067701
1439.15,1166.0,1,0.9820515743811745,0.008378493527201276,0.9574589144485584,0.02134030569517984,0.012822286329060517
1439.65,1166.5,0,0.017912501345346298,0.0784835004867609,0.01230725271285938,0.6165242801264328,0.2926849666739469
1439.65,1166.5,1,0.9820874987018912,0.008382973155298498,0.9574239187653732,0.021361500047955034,0.012831608031373273
1440.15,1167.0,0,0.017876574191188346,0.07837887907534094,0.01233039968921975,0.6165557068586028,0.2927350143768366
1440.15,1167.0,1,0.9821234258294032,0.008387441819802678,0.9573889240483645,0.021382699725324462,0.0128409344065083
1440.65,1167.5,0,0.017840644199663386,0.07827443148397657,0.012353577364361787,0.6165869773704593,0.29278501378120236
1440.65,1167.5,1,0.9821593558322109,0.008391899558394948,0.9573539302791728,0.02140390471147875,0.012850265450953486
1441.15,1168.0,0,0.01780471133975276,0.07817015748263463,0.012376785769596388,0.6166180918153051,0.2928349649324638
1441.15,1168.0,1,0.9821952886822329,0.008396346381385346,0.957318937459721,0.021425114997871496,0.012859601161022284
1441.65,1168.5,0,0.017768775621585246,0.07806605699756623,0.01240002493722293,0.6166490502361435,0.2928848678290674
1441.65,1168.5,1,0.9822312244311022,0.008400782312570215,0.9572839455825928,0.02144633057490721,0.012868941529929907
1442.15,1169.0,0,0.017732837011291618,0.07796212990512863,0.012423294899521759,0.616679852683321,0.29293472251202857
1442.15,1169.0,1,0.9822671630193958,0.008405207371469109,0.9572489546408651,0.021467551425637835,0.012878286562028034
1442.65,1169.5,0,0.01769689550723599,0.07785837624832073,0.012446595689717493,0.6167104991055165,0.2929845289564454
1442.65,1169.5,1,0.9823031045364032,0.008409621592227084,0.957213964618823,0.021488777536403665,0.012887636252546204
1443.15,1170.0,0,0.017660951101309396,0.07775479576805686,0.012469927339118985,0.6167409896840768,0.2930342872087474
1443.15,1170.0,1,0.9823390489352499,0.008414024983285811,0.9571789755200906,0.021510008901106256,0.012896990595517533
1443.65,1170.5,0,0.017625003776094984,0.07765138842605777,0.01249328988068647,0.616771324411944,0.2930839972813117
1443.65,1170.5,1,0.9823749962502899,0.008418417572056636,0.9571439873323443,0.02153124550308885,0.012906349592510143
1444.15,1171.0,0,0.0175890535372403,0.07754815415777216,0.012516683347206405,0.6168015033108911,0.2931336591841304
1444.15,1171.0,1,0.9824109465078024,0.008422799383954377,0.9571090000454527,0.021552487328766683,0.012915713241826197
1444.65,1171.5,0,0.017553100366285303,0.07744509266588256,0.012540107769733997,0.616831526612493,0.2931832729518905
1444.65,1171.5,1,0.9824468996561628,0.008427170424622887,0.9570740136668009,0.02157373437889774,0.01292508152967843
1445.15,1172.0,0,0.017517144243911886,0.07734220408788514,0.012563563182814787,0.6168613941462938,0.29323283858300625
1445.15,1172.0,1,0.9824828557923013,0.008431530737047454,0.9570390281697192,0.02159498662473962,0.012934454468493792
